id,startup_id,criterio,score
1,1,1.1_precisao_basica,3.0
2,1,1.2_calibracao,5.0
3,1,1.3_estabilidade_leitura,5.0
4,1,1.4_latencia_sinal,4.0
5,1,1.5_relacao_sinal_ruido,3.0
6,1,2.1_custo_bom,4.0
7,1,2.2_custo_opex,5.0
8,1,2.3_tempo_deploy,3.0
9,1,2.4_escalabilidade_fabril,3.0
10,1,2.5_competitividade_preco,3.0
11,1,3.1_mtbf_teorico,4.0
12,1,3.2_tratamento_erros,3.0
13,1,3.3_estabilidade_firmware,3.0
14,1,3.4_tempo_recuperacao,5.0
15,1,3.5_stress_test,5.0
16,1,4.1_tempo_instalacao,4.0
17,1,4.2_facilidade_config,4.0
18,1,4.3_clareza_dashboard,4.0
19,1,4.4_feedback_usuario,4.0
20,1,4.5_doc_tecnica,5.0
21,1,5.1_autonomia_bateria,5.0
22,1,5.2_eficiencia_carga,4.0
23,1,5.3_consumo_standby,4.0
24,1,5.4_dimensionamento_fonte,4.0
25,1,5.5_modo_sleep,5.0
26,1,6.1_protecao_ip_agua,5.0
27,1,6.2_resistencia_termica,3.0
28,1,6.3_integridade_mecanica,3.0
29,1,6.4_resistencia_impacto,3.0
30,1,6.5_durabilidade_conector,3.0
31,1,7.1_perda_pacotes,3.0
32,1,7.2_latencia_nuvem,4.0
33,1,7.3_integridade_backup,4.0
34,1,7.4_resiliencia_api,4.0
35,1,7.5_seguranca_cripto,4.0
36,1,8.1_risco_supply_chain,3.0
37,1,8.2_frequencia_manutencao,3.0
38,1,8.3_indice_reparabilidade,5.0
39,1,8.4_tempo_montagem,4.0
40,1,8.5_ciclo_vida_material,4.0
41,2,1.1_precisao_basica,4.0
42,2,1.2_calibracao,3.0
43,2,1.3_estabilidade_leitura,4.0
44,2,1.4_latencia_sinal,5.0
45,2,1.5_relacao_sinal_ruido,5.0
46,2,2.1_custo_bom,3.0
47,2,2.2_custo_opex,4.0
48,2,2.3_tempo_deploy,5.0
49,2,2.4_escalabilidade_fabril,3.0
50,2,2.5_competitividade_preco,5.0
51,2,3.1_mtbf_teorico,5.0
52,2,3.2_tratamento_erros,4.0
53,2,3.3_estabilidade_firmware,5.0
54,2,3.4_tempo_recuperacao,3.0
55,2,3.5_stress_test,4.0
56,2,4.1_tempo_instalacao,5.0
57,2,4.2_facilidade_config,5.0
58,2,4.3_clareza_dashboard,5.0
59,2,4.4_feedback_usuario,3.0
60,2,4.5_doc_tecnica,5.0
61,2,5.1_autonomia_bateria,3.0
62,2,5.2_eficiencia_carga,5.0
63,2,5.3_consumo_standby,5.0
64,2,5.4_dimensionamento_fonte,4.0
65,2,5.5_modo_sleep,5.0
66,2,6.1_protecao_ip_agua,3.0
67,2,6.2_resistencia_termica,5.0
68,2,6.3_integridade_mecanica,5.0
69,2,6.4_resistencia_impacto,3.0
70,2,6.5_durabilidade_conector,5.0
71,2,7.1_perda_pacotes,3.0
72,2,7.2_latencia_nuvem,5.0
73,2,7.3_integridade_backup,3.0
74,2,7.4_resiliencia_api,3.0
75,2,7.5_seguranca_cripto,4.0
76,2,8.1_risco_supply_chain,5.0
77,2,8.2_frequencia_manutencao,3.0
78,2,8.3_indice_reparabilidade,3.0
79,2,8.4_tempo_montagem,4.0
80,2,8.5_ciclo_vida_material,3.0
81,3,1.1_precisao_basica,1.0
82,3,1.2_calibracao,1.0
83,3,1.3_estabilidade_leitura,3.0
84,3,1.4_latencia_sinal,3.0
85,3,1.5_relacao_sinal_ruido,3.0
86,3,2.1_custo_bom,2.0
87,3,2.2_custo_opex,1.0
88,3,2.3_tempo_deploy,3.0
89,3,2.4_escalabilidade_fabril,1.0
90,3,2.5_competitividade_preco,3.0
91,3,3.1_mtbf_teorico,3.0
92,3,3.2_tratamento_erros,3.0
93,3,3.3_estabilidade_firmware,1.0
94,3,3.4_tempo_recuperacao,3.0
95,3,3.5_stress_test,3.0
96,3,4.1_tempo_instalacao,2.0
97,3,4.2_facilidade_config,2.0
98,3,4.3_clareza_dashboard,2.0
99,3,4.4_feedback_usuario,2.0
100,3,4.5_doc_tecnica,1.0
101,3,5.1_autonomia_bateria,2.0
102,3,5.2_eficiencia_carga,2.0
103,3,5.3_consumo_standby,3.0
104,3,5.4_dimensionamento_fonte,1.0
105,3,5.5_modo_sleep,1.0
106,3,6.1_protecao_ip_agua,3.0
107,3,6.2_resistencia_termica,3.0
108,3,6.3_integridade_mecanica,3.0
109,3,6.4_resistencia_impacto,1.0
110,3,6.5_durabilidade_conector,1.0
111,3,7.1_perda_pacotes,2.0
112,3,7.2_latencia_nuvem,1.0
113,3,7.3_integridade_backup,1.0
114,3,7.4_resiliencia_api,3.0
115,3,7.5_seguranca_cripto,1.0
116,3,8.1_risco_supply_chain,2.0
117,3,8.2_frequencia_manutencao,1.0
118,3,8.3_indice_reparabilidade,3.0
119,3,8.4_tempo_montagem,3.0
120,3,8.5_ciclo_vida_material,1.0
121,4,1.1_precisao_basica,3.0
122,4,1.2_calibracao,5.0
123,4,1.3_estabilidade_leitura,5.0
124,4,1.4_latencia_sinal,3.0
125,4,1.5_relacao_sinal_ruido,3.0
126,4,2.1_custo_bom,3.0
127,4,2.2_custo_opex,3.0
128,4,2.3_tempo_deploy,3.0
129,4,2.4_escalabilidade_fabril,5.0
130,4,2.5_competitividade_preco,4.0
131,4,3.1_mtbf_teorico,3.0
132,4,3.2_tratamento_erros,3.0
133,4,3.3_estabilidade_firmware,3.0
134,4,3.4_tempo_recuperacao,4.0
135,4,3.5_stress_test,3.0
136,4,4.1_tempo_instalacao,5.0
137,4,4.2_facilidade_config,4.0
138,4,4.3_clareza_dashboard,5.0
139,4,4.4_feedback_usuario,3.0
140,4,4.5_doc_tecnica,5.0
141,4,5.1_autonomia_bateria,5.0
142,4,5.2_eficiencia_carga,4.0
143,4,5.3_consumo_standby,3.0
144,4,5.4_dimensionamento_fonte,3.0
145,4,5.5_modo_sleep,3.0
146,4,6.1_protecao_ip_agua,5.0
147,4,6.2_resistencia_termica,4.0
148,4,6.3_integridade_mecanica,5.0
149,4,6.4_resistencia_impacto,5.0
150,4,6.5_durabilidade_conector,3.0
151,4,7.1_perda_pacotes,4.0
152,4,7.2_latencia_nuvem,3.0
153,4,7.3_integridade_backup,4.0
154,4,7.4_resiliencia_api,4.0
155,4,7.5_seguranca_cripto,3.0
156,4,8.1_risco_supply_chain,4.0
157,4,8.2_frequencia_manutencao,4.0
158,4,8.3_indice_reparabilidade,5.0
159,4,8.4_tempo_montagem,3.0
160,4,8.5_ciclo_vida_material,3.0
161,5,1.1_precisao_basica,4.0
162,5,1.2_calibracao,3.0
163,5,1.3_estabilidade_leitura,4.0
164,5,1.4_latencia_sinal,4.0
165,5,1.5_relacao_sinal_ruido,4.0
166,5,2.1_custo_bom,3.0
167,5,2.2_custo_opex,3.0
168,5,2.3_tempo_deploy,4.0
169,5,2.4_escalabilidade_fabril,5.0
170,5,2.5_competitividade_preco,4.0
171,5,3.1_mtbf_teorico,4.0
172,5,3.2_tratamento_erros,3.0
173,5,3.3_estabilidade_firmware,3.0
174,5,3.4_tempo_recuperacao,3.0
175,5,3.5_stress_test,5.0
176,5,4.1_tempo_instalacao,5.0
177,5,4.2_facilidade_config,4.0
178,5,4.3_clareza_dashboard,5.0
179,5,4.4_feedback_usuario,4.0
180,5,4.5_doc_tecnica,4.0
181,5,5.1_autonomia_bateria,5.0
182,5,5.2_eficiencia_carga,5.0
183,5,5.3_consumo_standby,5.0
184,5,5.4_dimensionamento_fonte,5.0
185,5,5.5_modo_sleep,5.0
186,5,6.1_protecao_ip_agua,5.0
187,5,6.2_resistencia_termica,5.0
188,5,6.3_integridade_mecanica,4.0
189,5,6.4_resistencia_impacto,3.0
190,5,6.5_durabilidade_conector,3.0
191,5,7.1_perda_pacotes,3.0
192,5,7.2_latencia_nuvem,3.0
193,5,7.3_integridade_backup,3.0
194,5,7.4_resiliencia_api,5.0
195,5,7.5_seguranca_cripto,3.0
196,5,8.1_risco_supply_chain,4.0
197,5,8.2_frequencia_manutencao,4.0
198,5,8.3_indice_reparabilidade,4.0
199,5,8.4_tempo_montagem,5.0
200,5,8.5_ciclo_vida_material,3.0
201,6,1.1_precisao_basica,2.0
202,6,1.2_calibracao,1.0
203,6,1.3_estabilidade_leitura,1.0
204,6,1.4_latencia_sinal,2.0
205,6,1.5_relacao_sinal_ruido,1.0
206,6,2.1_custo_bom,1.0
207,6,2.2_custo_opex,2.0
208,6,2.3_tempo_deploy,3.0
209,6,2.4_escalabilidade_fabril,2.0
210,6,2.5_competitividade_preco,1.0
211,6,3.1_mtbf_teorico,3.0
212,6,3.2_tratamento_erros,3.0
213,6,3.3_estabilidade_firmware,3.0
214,6,3.4_tempo_recuperacao,3.0
215,6,3.5_stress_test,3.0
216,6,4.1_tempo_instalacao,1.0
217,6,4.2_facilidade_config,3.0
218,6,4.3_clareza_dashboard,2.0
219,6,4.4_feedback_usuario,1.0
220,6,4.5_doc_tecnica,2.0
221,6,5.1_autonomia_bateria,2.0
222,6,5.2_eficiencia_carga,2.0
223,6,5.3_consumo_standby,2.0
224,6,5.4_dimensionamento_fonte,1.0
225,6,5.5_modo_sleep,2.0
226,6,6.1_protecao_ip_agua,2.0
227,6,6.2_resistencia_termica,2.0
228,6,6.3_integridade_mecanica,2.0
229,6,6.4_resistencia_impacto,2.0
230,6,6.5_durabilidade_conector,1.0
231,6,7.1_perda_pacotes,3.0
232,6,7.2_latencia_nuvem,2.0
233,6,7.3_integridade_backup,1.0
234,6,7.4_resiliencia_api,1.0
235,6,7.5_seguranca_cripto,3.0
236,6,8.1_risco_supply_chain,2.0
237,6,8.2_frequencia_manutencao,3.0
238,6,8.3_indice_reparabilidade,2.0
239,6,8.4_tempo_montagem,3.0
240,6,8.5_ciclo_vida_material,3.0
241,7,1.1_precisao_basica,5.0
242,7,1.2_calibracao,4.0
243,7,1.3_estabilidade_leitura,3.0
244,7,1.4_latencia_sinal,4.0
245,7,1.5_relacao_sinal_ruido,4.0
246,7,2.1_custo_bom,4.0
247,7,2.2_custo_opex,3.0
248,7,2.3_tempo_deploy,3.0
249,7,2.4_escalabilidade_fabril,5.0
250,7,2.5_competitividade_preco,4.0
251,7,3.1_mtbf_teorico,5.0
252,7,3.2_tratamento_erros,5.0
253,7,3.3_estabilidade_firmware,3.0
254,7,3.4_tempo_recuperacao,3.0
255,7,3.5_stress_test,5.0
256,7,4.1_tempo_instalacao,4.0
257,7,4.2_facilidade_config,3.0
258,7,4.3_clareza_dashboard,4.0
259,7,4.4_feedback_usuario,5.0
260,7,4.5_doc_tecnica,5.0
261,7,5.1_autonomia_bateria,5.0
262,7,5.2_eficiencia_carga,3.0
263,7,5.3_consumo_standby,5.0
264,7,5.4_dimensionamento_fonte,3.0
265,7,5.5_modo_sleep,4.0
266,7,6.1_protecao_ip_agua,4.0
267,7,6.2_resistencia_termica,3.0
268,7,6.3_integridade_mecanica,5.0
269,7,6.4_resistencia_impacto,4.0
270,7,6.5_durabilidade_conector,4.0
271,7,7.1_perda_pacotes,4.0
272,7,7.2_latencia_nuvem,5.0
273,7,7.3_integridade_backup,5.0
274,7,7.4_resiliencia_api,4.0
275,7,7.5_seguranca_cripto,3.0
276,7,8.1_risco_supply_chain,3.0
277,7,8.2_frequencia_manutencao,5.0
278,7,8.3_indice_reparabilidade,3.0
279,7,8.4_tempo_montagem,4.0
280,7,8.5_ciclo_vida_material,4.0
281,8,1.1_precisao_basica,3.0
282,8,1.2_calibracao,4.0
283,8,1.3_estabilidade_leitura,4.0
284,8,1.4_latencia_sinal,5.0
285,8,1.5_relacao_sinal_ruido,3.0
286,8,2.1_custo_bom,4.0
287,8,2.2_custo_opex,4.0
288,8,2.3_tempo_deploy,5.0
289,8,2.4_escalabilidade_fabril,4.0
290,8,2.5_competitividade_preco,5.0
291,8,3.1_mtbf_teorico,4.0
292,8,3.2_tratamento_erros,3.0
293,8,3.3_estabilidade_firmware,3.0
